dataset_list: ['Task013_ACDC', 'Task032_AMOS22_Task1', 'Task040_ATM22', 'Task020_AbdomenCT1K', 'Task602_ASC18', 'Task011_BTCV', 'Task590_Brain_PTM', 'Task617_CAUSE07', 'Task037_CHAOS_Task_3_5_Variant1', 'Task525_CMRxMotions', 'Task612_CTPelvic1k', 'Task601_CTSpine1K_Full', 'Task625_EMIDEC', 'Task623_FLARE21', 'Task022_FLARE2022', 'Task505_FeTA', 'Task892_Heart_Seg_MRI', 'Task036_KiPA22', 'Task040_KiTS', 'Task021_KiTS2021', 'Task050_LAScarQS22_task1', 'Task051_LAScarQS22_task2', 'Task614_LUNA', 'Task603_MMWHS', 'Task627_MRBrain18', 'Task001_BrainTumour', 'Task002_Heart', 'Task003_Liver', 'Task004_Hippocampus', 'Task005_Prostate', 'Task006_Lung', 'Task007_Pancreas', 'Task008_HepaticVessel', 'Task009_Spleen', 'Task010_Colon', 'Task507_Myops2020', 'Task618_Promise09', 'Task039_Parse22', 'Task622_SLIVER07', 'Task619_VESSEL2012', 'Task083_VerSe2020', 'Task502_WMH', 'Task1000_cSeg-2022', 'Task606_orCaScore', 'Task029_LITS', 'Task621_Prostate_MRI_Segmentation_Dataset', 'Task605_SegThor', 'Task558_Totalsegmentator_dataset', 'Task560_WORD', 'Task890_iSeg2017', 'Task632_AutoImplant', 'Task611_PROMISE12', 'Task1006_hvsmr_2016', 'Task012_BTCV_Cervix', 'Task162_HeadandNeckAutoSegmentationChallenge', 'Task161_MRBrainS13DataNii', 'Task512_QUBIQ2020_braingrowth_subset', 'Task512_QUBIQ2020_braintumor_subset', 'Task512_QUBIQ2020_kidney_subset', 'Task512_QUBIQ2020_prostate_subset']
dataset: Task013_ACDC, json keys:[0, 1, 2, 3]
patient091_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient013_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient027_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient095_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient011_frame08.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient063_frame16.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient072_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient052_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient062_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient039_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient030_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient013_frame14.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient057_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient006_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient012_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient038_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient007_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient018_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient049_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient038_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient023_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient094_frame07.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient033_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient068_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient058_frame14.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient086_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient065_frame14.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient096_frame08.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient040_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient019_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient075_frame06.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient084_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient061_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient093_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient021_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient069_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient007_frame07.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient055_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient004_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient019_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient097_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient081_frame07.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient009_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient048_frame08.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient026_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient029_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient049_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient009_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient003_frame15.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient004_frame15.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient025_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient075_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient023_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient078_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient082_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient040_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient072_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient097_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient027_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient076_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient083_frame08.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient056_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient087_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient058_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient046_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient078_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient081_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient016_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient071_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient069_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient036_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient022_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient053_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient039_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient063_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient087_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient082_frame07.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient022_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient090_frame04.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient014_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient057_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient083_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient088_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient016_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient059_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient064_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient056_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient051_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient046_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient017_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient044_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient028_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient065_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient034_frame16.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient080_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient086_frame08.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient051_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient026_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient070_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient050_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient071_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient024_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient025_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient074_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient044_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient037_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient028_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient001_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient005_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient021_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient080_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient031_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient062_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient090_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient054_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient045_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient036_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient064_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient043_frame07.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient077_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient073_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient010_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient041_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient020_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient077_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient048_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient092_frame06.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient098_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient092_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient053_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient035_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient030_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient099_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient067_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient006_frame16.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient054_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient041_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient042_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient045_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient020_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient066_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient047_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient031_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient070_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient095_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient017_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient037_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient024_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient089_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient100_frame13.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient032_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient085_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient066_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient005_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient035_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient042_frame16.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient079_frame11.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient084_frame10.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient068_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient047_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient067_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient074_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient098_frame09.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient089_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient076_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient061_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient050_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient085_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient094_frame01.nii.gz: [True, True, True, True] [0, 1, 2, 3]
patient029_frame12.nii.gz: [True, True, True, True] [0, 1, 2, 3]
